Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
black cottonwood,POBAT,Populus balsamifera ssp. trichocarpa,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,No,No,Erect,Mid Spring,Routinely Available
eastern cottonwood,PODE3,Populus deltoides,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,Yes,No,Erect,Spring,Routinely Available
plains cottonwood,PODEM,Populus deltoides ssp. monilifera,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Coarse,White,Yes,No,Erect,Mid Spring,Routinely Available
Fremont cottonwood,POFR2,Populus fremontii,SALICA,Willow family,Spring and Summer,Yes,White,No,Green,Medium,White,No,No,Irregular,Early Spring,Routinely Available
bigtooth aspen,POGR4,Populus grandidentata,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
swamp cottonwood,POHE4,Populus heterophylla,SALICA,Willow family,Spring and Summer,No,White,No,Green,Coarse,White,No,No,Erect,Mid Spring,No Known Source
Lombardy poplar,PONI,Populus nigra,SALICA,Willow family,Spring and Summer,No,White,No,Green,Medium,White,No,No,Columnar,Early Spring,Routinely Available
quaking aspen,POTR5,Populus tremuloides,SALICA,Willow family,Spring and Summer,No,Blue,No,Green,Medium,White,No,No,Rounded,Mid Spring,Routinely Available
Kamalo pritchardia,PRMU3,Pritchardia munroi,ARECAC,Palm family,MI,No,Green,No,Green,Coarse,Black,No,No,Erect,MI,MI
honey mesquite,PRGLG,Prosopis glandulosa var. glandulosa,FABACE,Pea family,Spring and Summer,No,Yellow,Yes,Green,Fine,White,Yes,No,Rounded,Early Spring,Field Collections Only
screwbean mesquite,PRPU,Prosopis pubescens,FABACE,Pea family,Spring; Summer; Fall,No,MI,Yes,Green,Fine,Brown,Yes,No,Erect,Early Spring,Routinely Available
American plum,PRAM,Prunus americana,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Red,Yes,No,Erect,Mid Spring,Routinely Available
Chickasaw plum,PRAN3,Prunus angustifolia,ROSACE,Rose family,Spring and Summer,No,White,No,Green,Medium,Red,Yes,No,Semi-Erect,Early Spring,Routinely Available
bitter cherry,PREM,Prunus emarginata,ROSACE,Rose family,Spring,No,White,Yes,Green,Fine,Red,Yes,No,Rounded,Mid Spring,No Known Source
Canadian plum,PRNI,Prunus nigra,ROSACE,Rose family,Spring,No,Red,No,Green,Coarse,Orange,No,No,Erect,Mid Spring,MI
European bird cherry,PRPA5,Prunus padus,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Black,Yes,No,Erect,Spring,No Known Source
black cherry,PRSE2,Prunus serotina,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Black,Yes,No,Erect,Late Spring,Routinely Available
Klamath plum,PRSU2,Prunus subcordata,ROSACE,Rose family,Spring and Summer,Yes,White,No,Green,Medium,Purple,Yes,No,Erect,Early Spring,No Known Source
Nanking cherry,PRTO80,Prunus tomentosa,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Irregular,Late Spring,Routinely Available
chokecherry,PRVI,Prunus virginiana,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Black,Yes,No,Erect,Mid Spring,Routinely Available
western chokecherry,PRVID,Prunus virginiana var. demissa,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Medium,Red,No,No,Erect,Spring,Routinely Available
bigcone Douglas-fir,PSMA,Pseudotsuga macrocarpa,PINACE,Pine family,Spring,No,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
Douglas-fir,PSME,Pseudotsuga menziesii,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
Rocky Mountain Douglas-fir,PSMEG,Pseudotsuga menziesii var. glauca,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Conical,Mid Spring,Contracting Only
guava,PSGU,Psidium guajava,MYRTAC,Myrtle family,Year Round,No,White,No,Green,Medium,Yellow,Yes,Yes,Erect,Spring,Routinely Available
common hoptree,PTTR,Ptelea trifoliata,RUTACE,Rue family,Spring and Summer,Yes,Yellow,No,Green,Medium,Red,No,Yes,Erect,Early Summer,No Known Source
pomegranate,PUGR2,Punica granatum,PUNICA,Pomegranate family,Spring and Summer,Yes,Orange,Yes,Green,Medium,Red,Yes,No,Vase,Spring,Routinely Available
Stansbury cliffrose,PUST,Purshia stansburiana,ROSACE,Rose family,Summer,No,White,Yes,Green,Fine,Brown,Yes,Yes,Erect,Mid Spring,No Known Source
common pear,PYCO,Pyrus communis,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Yellow,Yes,No,Erect,Early Spring,Routinely Available
California live oak,QUAG,Quercus agrifolia,FAGACE,Beech family,Spring; Summer; Fall,No,Yellow,No,Green,Medium,Brown,Yes,Yes,Irregular,Early Spring,Routinely Available
white oak,QUAL,Quercus alba,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
swamp white oak,QUBI,Quercus bicolor,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
canyon live oak,QUCH2,Quercus chrysolepis,FAGACE,Beech family,Spring; Summer; Fall,Yes,Yellow,No,Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Routinely Available
scarlet oak,QUCO2,Quercus coccinea,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,No Known Source
blue oak,QUDO,Quercus douglasii,FAGACE,Beech family,Spring,Yes,Yellow,No,Gray-Green,Coarse,Brown,Yes,No,Erect,Spring,Contracting Only
coastal sage scrub oak,QUDU,Quercus dumosa,FAGACE,Beech family,Spring,Yes,Yellow,No,Green,Coarse,Brown,No,Yes,Semi-Erect,Early Spring,Contracting Only
southern red oak,QUFA,Quercus falcata,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
Gambel oak,QUGA,Quercus gambelii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Irregular,Mid Spring,Contracting Only
Oregon white oak,QUGA4,Quercus garryana,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Contracting Only
shingle oak,QUIM,Quercus imbricaria,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Dark Green,Medium,Brown,No,No,Erect,Late Spring,No Known Source
California black oak,QUKE,Quercus kelloggii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Late Spring,Contracting Only
turkey oak,QULA2,Quercus laevis,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Late Spring,No Known Source
laurel oak,QULA3,Quercus laurifolia,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
valley oak,QULO,Quercus lobata,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Rounded,Early Spring,Contracting Only
overcup oak,QULY,Quercus lyrata,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
bur oak,QUMA2,Quercus macrocarpa,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
blackjack oak,QUMA3,Quercus marilandica,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Dark Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
swamp chestnut oak,QUMI,Quercus michauxii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
chinquapin oak,QUMU,Quercus muehlenbergii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,No Known Source
water oak,QUNI,Quercus nigra,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
cherrybark oak,QUPA5,Quercus pagoda,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
pin oak,QUPA2,Quercus palustris,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,No,No,Erect,Spring,Routinely Available
willow oak,QUPH,Quercus phellos,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Fine,Brown,Yes,No,Erect,Mid Spring,Routinely Available
northern red oak,QURU,Quercus rubra,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
Shumard's oak,QUSH,Quercus shumardii,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
post oak,QUST,Quercus stellata,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Erect,Early Spring,Routinely Available
Nuttall oak,QUTE,Quercus texana,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
black oak,QUVE,Quercus velutina,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
live oak,QUVI,Quercus virginiana,FAGACE,Beech family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,Yes,Yes,Rounded,Early Spring,Routinely Available
redberry buckthorn,RHCR,Rhamnus crocea,RHAMNA,Buckthorn family,Spring; Summer; Fall,No,White,Yes,Dark Green,Medium,Red,Yes,Yes,Vase,Early Spring,Contracting Only
Pacific rhododendron,RHMA3,Rhododendron macrophyllum,ERICAC,Heath family,Spring and Summer,No,Purple,Yes,Dark Green,Coarse,Black,Yes,Yes,Erect,Spring,Routinely Available
great laurel,RHMA4,Rhododendron maximum,ERICAC,Heath family,Spring and Summer,Yes,Red,Yes,Dark Green,Coarse,Brown,No,Yes,Semi-Erect,Mid Spring,Routinely Available
winged sumac,RHCO,Rhus copallinum,ANACAR,Sumac family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
smooth sumac,RHGL,Rhus glabra,ANACAR,Sumac family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
littleleaf sumac,RHMI3,Rhus microphylla,ANACAR,Sumac family,Spring and Summer,Yes,White,No,Green,Fine,Red,Yes,No,Rounded,Spring,Routinely Available
sugar sumac,RHOV,Rhus ovata,ANACAR,Sumac family,Spring and Summer,Yes,White,No,Green,Coarse,Red,Yes,Yes,Semi-Erect,Mid Spring,Contracting Only
New Mexico locust,RONE,Robinia neomexicana,FABACE,Pea family,Spring and Summer,Yes,Purple,Yes,Green,Fine,Brown,Yes,No,Irregular,Late Spring,Routinely Available
black locust,ROPS,Robinia pseudoacacia,FABACE,Pea family,Spring,No,White,Yes,Green,Medium,Black,Yes,No,Erect,Spring,Routinely Available
dwarf palmetto,SAMI8,Sabal minor,ARECAC,Palm family,Spring and Summer,No,White,No,Gray-Green,Coarse,Black,No,Yes,Erect,Late Spring,Routinely Available
cabbage palmetto,SAPA,Sabal palmetto,ARECAC,Palm family,Spring and Summer,No,White,Yes,Gray-Green,Coarse,Black,Yes,Yes,Climbing,Summer,No Known Source
white willow,SAAL2,Salix alba,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,No,No,Erect,Early Spring,Routinely Available
peachleaf willow,SAAM2,Salix amygdaloides,SALICA,Willow family,Spring and Summer,No,White,No,Green,Medium,MI,No,No,Irregular,Late Spring,Routinely Available
Barclay's willow,SABA3,Salix barclayi,SALICA,Willow family,Spring and Summer,No,White,No,Green,Medium,MI,No,No,Erect,MI,No Known Source
coastal plain willow,SACA5,Salix caroliniana,SALICA,Willow family,Spring,Yes,Green,No,Green,Coarse,White,No,No,Erect,Early Spring,Routinely Available
pussy willow,SADI,Salix discolor,SALICA,Willow family,Spring,No,White,No,Green,Coarse,MI,No,No,Erect,Winter,Routinely Available
narrowleaf willow,SAEX,Salix exigua,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,No,No,Erect,Early Spring,Routinely Available
Geyer willow,SAGE2,Salix geyeriana,SALICA,Willow family,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Brown,No,No,Erect,Spring,Routinely Available
Goodding's willow,SAGO,Salix gooddingii,SALICA,Willow family,Spring and Summer,No,Green,No,Green,Coarse,Brown,No,No,Erect,Early Spring,Routinely Available
sandbar willow,SAIN3,Salix interior,SALICA,Willow family,Spring,No,Green,No,Green,Medium,Brown,Yes,No,Erect,Early Spring,Routinely Available
shining willow,SALU,Salix lucida,SALICA,Willow family,Spring and Summer,No,Yellow,No,Yellow-Green,Coarse,Brown,No,No,Erect,Spring,Routinely Available
Pacific willow,SALUL,Salix lucida ssp. lasiandra,SALICA,Willow family,Spring and Summer,Yes,Green,No,Green,Medium,Yellow,No,No,Erect,Spring,Routinely Available
yellow willow,SALU2,Salix lutea,SALICA,Willow family,Spring and Summer,No,Yellow,No,Yellow-Green,Coarse,Brown,No,No,Erect,Spring,Routinely Available
park willow,SAMO2,Salix monticola,SALICA,Willow family,Spring and Summer,No,White,Yes,Green,Medium,Brown,Yes,No,Erect,Late Spring,Routinely Available
black willow,SANI,Salix nigra,SALICA,Willow family,Spring and Summer,No,No Flower,No,Green,Medium,MI,No,No,Erect,Early Spring,Routinely Available
laurel willow,SAPE4,Salix pentandra,SALICA,Willow family,Spring and Summer,Yes,Yellow,Yes,Dark Green,Medium,Brown,No,No,Erect,Summer,Contracting Only
diamondleaf willow,SAPL2,Salix planifolia,SALICA,Willow family,Spring and Summer,No,Green,No,Green,Medium,Green,No,No,Semi-Erect,Late Spring,Routinely Available
Scouler's willow,SASC,Salix scouleriana,SALICA,Willow family,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Brown,No,No,Erect,Early Spring,Contracting Only
silky willow,SASE,Salix sericea,SALICA,Willow family,Spring and Summer,No,Green,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
Sitka willow,SASI2,Salix sitchensis,SALICA,Willow family,Spring and Summer,No,White,No,Yellow-Green,Medium,MI,No,No,Erect,MI,Routinely Available
American black elderberry,SANIC4,Sambucus nigra ssp. canadensis,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Medium,Blue,Yes,No,Erect,Spring,Routinely Available
blue elderberry,SANIC5,Sambucus nigra ssp. cerulea,CAPRIF,Honeysuckle family,Spring and Summer,No,White,Yes,Green,Coarse,Black,Yes,No,Erect,Spring,Contracting Only
red elderberry,SARAR3,Sambucus racemosa var. racemosa,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Erect,Mid Summer,Contracting Only
western soapberry,SASAD,Sapindus saponaria var. drummondii,SAPIND,Soapberry family,Summer,Yes,White,Yes,Green,Fine,Yellow,Yes,No,Erect,Spring,Routinely Available
sassafras,SAAL5,Sassafras albidum,LAURAC,Laurel family,Spring and Summer,Yes,Yellow,Yes,Green,Coarse,Blue,No,No,Irregular,Late Spring,Routinely Available
Brazilian peppertree,SCTE,Schinus terebinthifolius,ANACAR,Sumac family,Year Round,Yes,White,Yes,Dark Green,Coarse,Red,Yes,Yes,Erect,Summer,Routinely Available
redwood,SESE3,Sequoia sempervirens,CUPRES,Cypress family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,Yes,Yes,Erect,Fall,Routinely Available
giant sequoia,SEGI2,Sequoiadendron giganteum,CUPRES,Cypress family,Spring and Summer,No,Green,No,Green,Fine,Brown,No,Yes,Conical,Mid Spring,Routinely Available
saw palmetto,SERE2,Serenoa repens,ARECAC,Palm family,Spring and Summer,No,White,No,Yellow-Green,Coarse,Black,No,Yes,Erect,Late Spring,Routinely Available
vegetable hummingbird,SEGR5,Sesbania grandiflora,FABACE,Pea family,Year Round,No,White,No,Green,Fine,Brown,No,Yes,Erect,Spring,Routinely Available
silver buffaloberry,SHAR,Shepherdia argentea,ELAEAG,Oleaster family,Spring and Summer,Yes,Yellow,Yes,White-Gray,Coarse,Red,Yes,No,Semi-Erect,Late Spring,Routinely Available
buckthorn bully,SILY,Sideroxylon lycioides,SAPOTA,Sapodilla family,Spring; Summer; Fall,No,White,No,Green,Medium,Black,Yes,Yes,Rounded,Early Summer,No Known Source
mescal bean,SOSE3,Sophora secundiflora,FABACE,Pea family,Spring and Summer,Yes,Purple,Yes,Green,Medium,Black,No,Yes,Semi-Erect,Early Spring,Routinely Available
American mountain ash,SOAM3,Sorbus americana,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Fine,Orange,Yes,No,Erect,Early Summer,Routinely Available
European mountain ash,SOAU,Sorbus aucuparia,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Fine,Orange,Yes,No,Erect,Late Spring,Routinely Available
northern mountain ash,SODE3,Sorbus decora,ROSACE,Rose family,Summer and Fall,Yes,White,Yes,Gray-Green,Fine,Red,Yes,No,Oval,Early Summer,Routinely Available
Greene's mountain ash,SOSC2,Sorbus scopulina,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Fine,Red,Yes,No,Erect,Summer,Contracting Only
western mountain ash,SOSIG,Sorbus sitchensis var. grayi,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Dark Green,Fine,Red,Yes,No,Erect,Late Spring,Contracting Only
American snowbell,STAM4,Styrax americanus,STYRAC,Storax family,MI,Yes,White,No,Green,Fine,MI,No,No,MI,Spring,MI
bigleaf snowbell,STGR4,Styrax grandifolius,STYRAC,Storax family,Spring and Summer,No,White,Yes,Green,Medium,Brown,No,No,Erect,Spring,No Known Source
Honduras mahogany,SWMA,Swietenia macrophylla,MELIAC,Mahogany family,Year Round,Yes,Green,No,Green,Medium,Brown,No,Yes,Erect,Spring,Routinely Available
West Indian mahogany,SWMA2,Swietenia mahagoni,MELIAC,Mahogany family,Spring,Yes,Yellow,Yes,Green,Coarse,Brown,Yes,No,Erect,Late Spring,Routinely Available
common sweetleaf,SYTI,Symplocos tinctoria,SYMPLO,Sweetleaf family,Spring and Summer,No,Yellow,Yes,Yellow-Green,Medium,Brown,No,No,Erect,Late Spring,MI
Java plum,SYCU,Syzygium cumini,MYRTAC,Myrtle family,Year Round,No,Green,No,Green,Medium,Black,Yes,Yes,Erect,Spring,No Known Source
white cedar,TAHE,Tabebuia heterophylla,BIGNON,Trumpet-creeper family,Spring; Summer; Fall,No,White,Yes,Green,Medium,Brown,Yes,No,Erect,Spring,No Known Source
tamarind,TAIN2,Tamarindus indica,FABACE,Pea family,Year Round,Yes,Yellow,No,Green,Fine,Brown,Yes,Yes,Rounded,Spring,Routinely Available
pond cypress,TAAS,Taxodium ascendens,CUPRES,Cypress family,Spring and Summer,Yes,Brown,No,Green,Fine,Brown,Yes,No,Climbing,Late Winter,Routinely Available
bald cypress,TADI2,Taxodium distichum,CUPRES,Cypress family,Spring and Summer,Yes,Purple,No,Green,Fine,Brown,No,No,Conical,Mid Spring,Routinely Available
English yew,TABA80,Taxus baccata,TAXACE,Yew family,Spring and Summer,No,Yellow,No,Green,Fine,Red,No,Yes,Erect,Spring,Routinely Available
Pacific yew,TABR2,Taxus brevifolia,TAXACE,Yew family,Spring and Summer,No,No Flower,No,Gray-Green,Fine,Brown,Yes,Yes,Erect,Early Summer,Contracting Only
Japanese yew,TACU,Taxus cuspidata,TAXACE,Yew family,Spring and Summer,No,Yellow,No,Green,Fine,Red,No,Yes,Erect,Mid Spring,Routinely Available
yellow trumpetbush,TEST,Tecoma stans,BIGNON,Trumpet-creeper family,Spring and Summer,No,Yellow,Yes,Green,Fine,Brown,Yes,No,Erect,Indeterminate,Routinely Available
tropical almond,TECA,Terminalia catappa,COMBRE,Indian Almond family,Year Round,No,White,No,Green,Medium,Brown,Yes,Yes,Erect,Indeterminate,Routinely Available
Portia tree,THPO3,Thespesia populnea,MALVAC,Mallow family,Year Round,No,Yellow,Yes,Green,Medium,Brown,Yes,Yes,Erect,Spring,Routinely Available
arborvitae,THOC2,Thuja occidentalis,CUPRES,Cypress family,Spring and Summer,No,No Flower,No,Green,Fine,Brown,No,Yes,Conical,Mid Spring,Routinely Available
western redcedar,THPL,Thuja plicata,CUPRES,Cypress family,Spring and Summer,No,No Flower,No,Green,Fine,Brown,No,Yes,Conical,Mid Spring,Contracting Only
American basswood,TIAM,Tilia americana,TILIAC,Linden family,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Brown,No,No,Erect,Late Spring,Routinely Available
littleleaf linden,TICO2,Tilia cordata,TILIAC,Linden family,Spring and Summer,Yes,Yellow,No,Green,Fine,Brown,No,No,Erect,Early Summer,Routinely Available
Florida nutmeg,TOTA,Torreya taxifolia,TAXACE,Yew family,Spring and Summer,No,No Flower,No,Green,Fine,Blue,Yes,Yes,Erect,Mid Spring,Contracting Only
Jamaican nettletree,TRMI2,Trema micrantha,ULMACE,Elm family,Fall,No,Green,No,Green,Coarse,Orange,No,Yes,MI,Spring,MI
eastern hemlock,TSCA,Tsuga canadensis,PINACE,Pine family,Spring and Summer,No,Yellow,No,Dark Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
Carolina hemlock,TSCA2,Tsuga caroliniana,PINACE,Pine family,Spring and Summer,No,Yellow,No,Dark Green,Fine,Brown,No,Yes,Erect,Mid Spring,No Known Source
western hemlock,TSHE,Tsuga heterophylla,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Fine,Brown,No,Yes,Conical,Mid Spring,Routinely Available
mountain hemlock,TSME,Tsuga mertensiana,PINACE,Pine family,Summer,No,Yellow,No,Green,Fine,Brown,No,Yes,Erect,Early Summer,Contracting Only
winged elm,ULAL,Ulmus alata,ULMACE,Elm family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Erect,Early Spring,No Known Source
American elm,ULAM,Ulmus americana,ULMACE,Elm family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Early Spring,Routinely Available
cedar elm,ULCR,Ulmus crassifolia,ULMACE,Elm family,Spring and Summer,Yes,Green,No,Green,Medium,Brown,No,No,Erect,Late Summer,Routinely Available
Chinese elm,ULPA,Ulmus parvifolia,ULMACE,Elm family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Late Summer,Routinely Available
Siberian elm,ULPU,Ulmus pumila,ULMACE,Elm family,Spring and Summer,No,Green,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
slippery elm,ULRU,Ulmus rubra,ULMACE,Elm family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Erect,Late Winter,Routinely Available
September elm,ULSE,Ulmus serotina,ULMACE,Elm family,Spring and Summer,No,Green,No,Green,Medium,Brown,No,No,Erect,Late Summer,No Known Source
rock elm,ULTH,Ulmus thomasii,ULMACE,Elm family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,No Known Source
California laurel,UMCA,Umbellularia californica,LAURAC,Laurel family,Spring; Summer; Fall,Yes,Yellow,Yes,Green,Coarse,Yellow,Yes,Yes,Erect,Spring,Routinely Available
farkleberry,VAAR,Vaccinium arboreum,ERICAC,Heath family,Spring and Summer,No,White,Yes,Dark Green,Medium,Black,Yes,Yes,Erect,Late Summer,No Known Source
wayfaringtree,VILA,Viburnum lantana,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Coarse,Black,Yes,No,Erect,Late Spring,No Known Source
nannyberry,VILE,Viburnum lentago,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Coarse,Red,Yes,No,Erect,Late Spring,Routinely Available
withe-rod,VINUC,Viburnum nudum var. cassinoides,CAPRIF,Honeysuckle family,Spring and Summer,No,White,Yes,Green,Medium,Blue,No,No,Erect,Early Summer,Routinely Available
European cranberrybush,VIOP,Viburnum opulus,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Coarse,Red,Yes,No,Erect,Late Spring,Routinely Available
American cranberrybush,VIOPA2,Viburnum opulus var. americanum,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Coarse,Red,Yes,No,Erect,Late Spring,Routinely Available
blackhaw,VIPR,Viburnum prunifolium,CAPRIF,Honeysuckle family,Spring and Summer,Yes,White,Yes,Green,Medium,Black,Yes,No,Erect,Spring,Routinely Available
aloe yucca,YUAL,Yucca aloifolia,AGAVAC,Century-plant family,Spring,No,White,Yes,Dark Green,Coarse,Black,Yes,Yes,Erect,Early Summer,Routinely Available
soaptree yucca,YUEL,Yucca elata,AGAVAC,Century-plant family,Spring and Summer,Yes,White,Yes,Green,Coarse,Black,Yes,Yes,Erect,Late Spring,Field Collections Only
Japanese zelkova,ZESE80,Zelkova serrata,ULMACE,Elm family,Spring and Summer,Yes,Green,No,Dark Green,Fine,Brown,No,No,Erect,Mid Spring,Routinely Available
